hm,vol,volume,mean_r,n,vol_bp
320,0.0003394872537282703,187.77822990844354,-7.204023658437424e-06,983,3.394872537282703
321,0.00030688290122047793,176.6144455747711,-8.681961507201016e-06,983,3.0688290122047794
322,0.00031817726187142277,172.61953204476094,8.312137024986677e-07,983,3.1817726187142275
323,0.0003177282731709754,169.03763987792473,6.538826597685613e-06,983,3.177282731709754
324,0.00031984020692519096,166.09766022380467,1.1841562504304864e-06,983,3.1984020692519097
325,0.0003235490777648205,184.69582909460834,-3.0061767791726897e-05,983,3.235490777648205
326,0.00031734847887753215,173.7792472024415,-4.194239404161557e-06,983,3.1734847887753217
327,0.0003074737694472684,163.73957273652084,1.423062157747222e-05,983,3.0747376944726836
328,0.00028915824936400506,161.74364191251271,1.987360381211698e-05,983,2.8915824936400507
329,0.00027482666079152164,151.01119023397763,-1.1727786116061847e-05,983,2.7482666079152165
330,0.00037900098882436657,220.32553407934893,-3.438045137602965e-05,983,3.7900098882436657
331,0.0003458343490671865,186.21057985757884,-1.2554562013528052e-05,983,3.458343490671865
332,0.0003294458158805883,179.59206510681588,1.5648509729221207e-05,983,3.2944581588058828
333,0.0003195740046817663,167.940996948118,9.842754110983096e-06,983,3.195740046817663
334,0.00027921495968336724,160.03153611393694,3.1137612893319516e-06,983,2.7921495968336725
335,0.000331418567969135,176.7680569684639,2.731730154627639e-06,983,3.31418567969135
336,0.000292807474672505,159.98880976602237,-4.1716773096092394e-06,983,2.92807474672505
337,0.000268583507883741,155.2115971515768,5.526992573064562e-06,983,2.68583507883741
338,0.00026940867798947826,151.08341810783315,-5.164472426176931e-06,983,2.6940867798947825
339,0.0002694720819388976,148.86571719226856,5.57990150400329e-06,983,2.694720819388976
340,0.000289146102229418,164.92268565615464,-5.081128575946294e-06,983,2.8914610222941803
341,0.0002828696664433991,151.03967446592065,8.199928998464475e-06,983,2.828696664433991
342,0.00027946921772275895,151.08443540183112,1.3765234802616586e-06,983,2.7946921772275894
343,0.0002508800002988897,141.6907426246185,6.034250203382561e-06,983,2.508800002988897
344,0.00026781983051329836,140.22482197355035,-9.854708249966188e-06,983,2.6781983051329834
345,0.00029988020825983926,167.01627670396743,6.38461844893624e-06,983,2.9988020825983925
346,0.00029928349048974253,150.4201424211597,5.418918692757278e-06,983,2.992834904897425
347,0.0003018512599952926,144.0122075279756,1.4532001197489506e-05,983,3.0185125999529263
348,0.0002552534358868812,136.90437436419126,1.202053367524021e-05,983,2.552534358868812
349,0.00026503973469849655,135.71922685656153,2.7855060098638334e-06,983,2.6503973469849655
350,0.0002848726223357463,145.6113936927772,1.0389714721886445e-05,983,2.848726223357463
351,0.0002664835770536302,141.19837232960325,1.5918837067279212e-05,983,2.6648357705363024
352,0.00027865366086555327,138.8504577822991,-1.7063520692404807e-06,983,2.7865366086555325
353,0.0002613342105101714,135.6205493387589,-2.2862013576281452e-05,983,2.6133421051017143
354,0.00029038880932427214,137.50762970498474,1.837815081995602e-05,983,2.9038880932427213
355,0.0002575030557927312,140.6592065106816,5.834307151828077e-06,983,2.575030557927312
356,0.00026403523128518537,135.03662258392674,2.0832501286320088e-05,983,2.640352312851854
357,0.0002697076081559684,132.83706720977597,8.920613174525362e-06,982,2.697076081559684
358,0.0002731621872862827,136.29298067141403,1.677169727334704e-05,983,2.731621872862827
359,0.00023729094096802388,127.48118006103763,-1.851373319441344e-05,983,2.3729094096802386
400,0.00035657819547254356,287.0854526958291,3.0784603752046705e-05,983,3.5657819547254355
401,0.0003932077904469922,231.33367243133264,1.736500868511756e-05,983,3.932077904469922
402,0.0003585434669164391,220.3357070193286,-1.62456426861889e-08,983,3.5854346691643912
403,0.0003400125064172385,208.81892166836215,-8.896993776553884e-06,983,3.400125064172385
404,0.0003117449586582504,197.44252288911494,-2.273056950375259e-06,983,3.117449586582504
405,0.00031145796734334503,197.53916581892167,1.355058598358551e-06,983,3.1145796734334503
406,0.00033139698716640057,192.41709053916583,-1.8480157725250052e-05,983,3.3139698716640056
407,0.00034062489436354973,188.61648016276703,2.6653049734335645e-05,983,3.4062489436354975
408,0.00029819162295918603,180.3407934893184,-1.94319575541179e-05,983,2.98191622959186
409,0.0003068155794074858,174.41912512716175,1.0522303327259074e-06,983,3.068155794074858
410,0.0002944619941994773,186.6581892166836,4.314609366794568e-06,983,2.9446199419947727
411,0.00030569450579828684,171.55239064089523,-1.2305692756646112e-05,983,3.0569450579828685
412,0.00027101437795598945,169.96439471007122,2.3066028280467356e-06,983,2.7101437795598944
413,0.00030102998728473733,170.57171922685657,5.296586861323248e-06,983,3.0102998728473733
414,0.00025886682854412975,161.22889114954222,-7.303455216279036e-06,983,2.5886682854412975
415,0.00029580959854229403,185.90640895218718,6.754443899073506e-06,983,2.9580959854229403
416,0.0002731401184440355,165.06002034587996,9.742671850379549e-06,983,2.731401184440355
417,0.0002887694050599998,161.76398779247202,-2.732588981916567e-06,983,2.8876940505999977
418,0.0002955352091282181,170.85452695829093,-9.11690041525031e-06,983,2.955352091282181
419,0.0002575714741409502,154.91556459816888,2.6874943772201006e-06,983,2.575714741409502
