d,gap,atr,g_atr,t_fill,t_onh,t_onl,t_pdh,t_pdl,open_in_on,open_in_pd,r_first30,r_1000_1530,r_last30,r_1530,r_rest,year
121,45.5,146.17857142857142,0.3112631321768874,,931.0,,930.0,,True,False,0.0025447329835737555,-0.0018283720662434723,-0.001895493594819228,0.00361888910969668,-0.0037238656610627417,2021
122,56.75,142.375,0.398595258999122,1098.0,930.0,1164.0,,1129.0,True,True,-0.0011603603187146766,-0.004079881988024233,0.0012129532106222383,-0.0016275733607220915,-0.00286692877740212,2021
123,-49.25,146.42857142857142,-0.33634146341463417,930.0,,,,,True,True,0.005409515724664277,0.0008907978000969159,-0.00012720825598729114,0.003153170112604964,0.0007635895441095512,2021
125,2.5,138.98214285714286,0.01798792239496338,932.0,,952.0,1009.0,,True,True,-0.0007793798757819978,0.0023521943458054426,-0.0004128229207101741,0.00173182226174044,0.0019393714250953364,2021
126,-7.25,134.25,-0.054003724394785846,,,993.0,,993.0,True,True,-0.0019880247973279672,-0.001912229285244106,0.0011477763096499794,-0.004360911560120255,-0.0007644529755941132,2021
127,7.75,130.57142857142858,0.059354485776805244,932.0,930.0,,941.0,,True,True,0.0018296228922416284,-0.004588333311035581,-0.001486157438650375,-0.002264934376013035,-0.006074490749685971,2021
128,73.5,122.375,0.6006128702757916,1015.0,930.0,1049.0,,1048.0,True,True,0.0011612832688346604,-0.011062908583107009,-0.002414254926813127,-0.005210975659631763,-0.013477163509920146,2021
129,101.25,129.05357142857142,0.7845579078455791,945.0,930.0,961.0,,961.0,True,True,-0.006440702953093591,-0.0013705810989799532,0.0008064516566105101,-0.0013061252673162635,-0.0005641294423694571,2021
131,22.25,137.21428571428572,0.16215512753774075,932.0,931.0,936.0,,941.0,True,True,-0.0031716776592032236,0.009212045559790277,-9.635922727356439e-05,0.007479321754749318,0.009115686332516576,2021
132,-55.5,147.41071428571428,-0.3764990914597214,1258.0,1268.0,930.0,1267.0,,True,True,-0.0020814012596746144,0.005669296377777919,0.0008187444770704609,1.6060516024707938e-05,0.00648804085484836,2021
133,-26.5,151.98214285714286,-0.1743625895899424,,,930.0,,996.0,True,True,-0.005221775660892808,-0.006695928843230528,0.0014629867039318714,-0.013620160627377078,-0.005232942139298717,2021
134,-246.0,155.19642857142858,-1.585088022091819,,,930.0,,930.0,True,False,0.0020777686311430907,-0.015421824389561158,0.008611768152744668,-0.029456798120359506,-0.006810056236816569,2021
135,77.75,168.14285714285714,0.46240441801189464,972.0,,1012.0,,,True,True,-0.0009905240681759378,0.001089522533780556,-0.004315518565222297,0.005243885204071719,-0.003225996031441716,2021
136,43.5,172.83928571428572,0.25167889244756686,943.0,962.0,,992.0,,True,True,0.0009578544793649559,0.0076791274264292565,-0.0020660825583556377,0.011516062589360708,0.005613044868073776,2021
137,49.0,181.14285714285714,0.2705047318611987,,963.0,,930.0,,True,True,0.004212457451190074,0.00284722019120545,-0.0012680454293731928,0.01027174202320187,0.0015791747618321807,2021
138,-93.0,183.625,-0.5064669843430906,1258.0,1307.0,,,,True,True,0.0026641620792093794,0.003893559375609106,0.000568916067717622,0.00048790008774269276,0.004462475443326793,2021
139,-130.5,185.69642857142858,-0.7027598807577651,,,934.0,,930.0,True,False,-0.004122159539173837,0.005988778717870455,-0.0012767839877584877,-0.006652126137631402,0.004711994730112078,2021
140,-192.75,189.41071428571428,-1.0176298670689168,,,945.0,,930.0,True,False,-0.0033566000275366214,-0.009936182914834588,-0.002575390467123436,-0.026001780124386194,-0.012511573381957965,2021
141,53.5,199.75,0.26783479349186484,1059.0,,1059.0,,1103.0,True,True,0.004373587861884535,-0.00475991848171113,-0.0046982834157168335,0.0032140030190771374,-0.00945820189742799,2021
142,67.5,205.08928571428572,0.3291249455811929,1061.0,,1060.0,,1088.0,True,True,0.0021484448829326474,-0.004469919556602534,-0.0067256113059940194,0.002225595253515675,-0.011195530862596618,2021
143,34.25,203.23214285714286,0.16852649152095597,934.0,1206.0,983.0,,934.0,True,True,-0.0054448904333402265,0.010187075152078555,-0.0006568255353904527,0.007062391021567404,0.009530249616688158,2021
144,-66.25,207.96428571428572,-0.31856431392752876,,,940.0,,979.0,True,True,-0.007525026803615422,-0.012714980363949151,0.0041187426283580755,-0.024714514206627368,-0.008596237735591022,2021
145,39.0,220.28571428571428,0.17704280155642024,,931.0,,1089.0,,True,True,0.005064081582427568,0.008479451300943701,-0.003203202549051381,0.016222795971732994,0.00527624875189248,2021
146,-136.5,223.89285714285714,-0.6096666134949753,984.0,990.0,,1316.0,962.0,True,True,0.0010959843549329144,0.01224775886562226,0.0024316532017636737,0.004031990283074756,0.014679412067385862,2021
147,128.25,231.57142857142858,0.5538247995064774,,959.0,,930.0,,True,False,0.004854095053070687,-0.0013654379848171588,-0.0032044355407394266,0.012103681592259722,-0.004569873525556625,2021
148,46.75,226.80357142857142,0.206125501928982,934.0,,1001.0,,936.0,True,True,-0.005631746433484159,1.6758419011082963e-05,-0.0025673093444341494,-0.002493871226333419,-0.0025505509254230355,2021
149,-62.75,213.125,-0.2944281524926686,940.0,940.0,,,930.0,True,False,0.007446726685638263,-0.006957543527399244,-0.003767819209392786,-0.0037368748037007265,-0.010725362736792018,2021
150,60.0,216.25,0.2774566473988439,944.0,,,,944.0,True,True,-0.0066987191420689665,0.0004581590570798099,-0.0011882534075089736,-0.0021860895512436284,-0.0007300943504292079,2021
151,96.75,212.33928571428572,0.45563871835842235,,931.0,,1201.0,,True,True,-0.0021453254509650145,0.0014701287742892076,0.001990520385306364,0.005876542140787573,0.0034606491595955014,2021
152,153.0,210.21428571428572,0.72782874617737,,943.0,,930.0,,True,False,0.0017165669551220814,0.005744852088652596,0.00036416606374779954,0.01772204623243035,0.006109018152400369,2021
153,51.75,211.19642857142858,0.245032552633804,,1020.0,,930.0,,True,False,-0.0006929664188603419,0.0026866893257494885,0.0010693692563645714,0.0054137158316744805,0.0037560585821140528,2021
154,-58.75,207.26785714285714,-0.28344964245713794,948.0,947.0,,950.0,,True,True,0.004036016581840635,0.00934364488181427,0.0003745409881183942,0.009508061777664983,0.009718185869932804,2021
155,44.25,203.98214285714286,0.21693075374244944,,1016.0,,930.0,,True,False,-0.0005033979466990009,0.004586160450916932,0.00042029032981029694,0.006960415546367641,0.005006450780727228,2021
156,19.75,197.30357142857142,0.10009955652095213,953.0,930.0,1148.0,930.0,,True,False,-0.0008719945003259515,-0.002474788358607244,0.0009712353257116398,-0.0020708295569112035,-0.0015035530328955519,2021
157,-36.5,191.51785714285714,-0.1905827505827506,945.0,936.0,,1261.0,,True,True,0.0021869971537986023,0.005760449655699829,0.0003699860895265791,0.0055824604478481405,0.00613043574522629,2021
158,-52.75,182.14285714285714,-0.2896078431372549,,989.0,1036.0,,1042.0,True,True,0.0001290968066469666,-0.0057609998318631835,0.00042187247096575034,-0.009031266703408208,-0.005339127360897539,2021
159,63.25,170.53571428571428,0.37089005235602096,940.0,930.0,940.0,1104.0,,True,True,-0.0009536664345260755,0.00802117498431108,-0.0008827188311406888,0.011163386834351275,0.007138456153170342,2021
160,96.5,167.80357142857142,0.5750771522826434,,932.0,1125.0,930.0,,True,False,0.0026295464445296357,-0.005330026661590741,-0.0006722581724464119,0.0034782086245212693,-0.006002284834037004,2021
161,25.75,161.85714285714286,0.1590909090909091,,930.0,,1164.0,,True,True,0.004545426124132638,-4.773915327557442e-05,-0.0035869473714246394,0.006145515969547908,-0.003634686524700247,2021
162,83.75,163.05357142857142,0.5136348702223196,,946.0,,1001.0,,True,True,-0.00027009207126213903,0.0047082036514277505,0.001438155616068547,0.009774006054525967,0.006146359267496293,2021
163,-130.5,161.92857142857142,-0.8059108954565506,1091.0,956.0,,1102.0,930.0,True,False,0.0033066815497688686,0.006486132971397239,0.0034473836413345888,0.0015149366150682684,0.009933516612731692,2021
164,17.75,164.07142857142858,0.10818458859381802,931.0,,930.0,930.0,,True,False,-0.0033805329405369846,0.0029723312204216518,0.0026503375481317128,0.0007068969874232839,0.005622668768553219,2021
165,-28.0,162.14285714285714,-0.17268722466960354,935.0,936.0,,936.0,,True,True,0.005632231165873905,-9.361104617178758e-05,0.0004835627750896946,0.003782968667085186,0.00038995172891808305,2021
