sym,tend_estricta,tp,ema_exit,entrada,modo,trades,por_dia,p_tp_5min,wr_neto,gan_media,perd_media,peor,pf,exp_pts,exp_usd,exp_bruto,DEV_exp_usd,DEV_wr,DEV_ptp,DEV_t,VAL1_exp_usd,VAL1_wr,VAL1_ptp,VAL1_t,VAL2_exp_usd,VAL2_wr,VAL2_ptp,VAL2_t
YM,False,relleno,ambas,cierre,NULO (sin VI),26429,6.887933281209278,0.633887018048356,0.6330924363388701,3.6907520030341128,-15.74599815787421,-235.152,0.40444095585202483,-3.440738643994833,-17.203693219974166,-0.9226256620431881,-16.885251917694383,0.5407369348209042,0.5354521432765708,-42.804645794483314,-18.145008148041992,0.6953814218993254,0.6995329527763363,-13.32801812478518,-17.2830828490085,0.7468439280527316,0.7554463188470562,-17.77404732315798
YM,False,relleno,ambas,open sig.,VI usuario,13031,3.396142819911389,0.7179034609776687,0.46941907758422224,6.413636750040869,-10.952549609487994,-1019.152,0.5180816800290649,-2.8005304274422542,-14.002652137211271,-0.36643388841992175,-13.60341110745975,0.3443969766677621,0.6910943148209004,-25.492060787367326,-11.5102569373073,0.5601233299075026,0.7553956834532374,-4.642012868069004,-15.458939787957595,0.5863172634526905,0.7359471894378876,-8.79791582426886
YM,False,relleno,ambas,open sig.,NULO (sin VI),26429,6.887933281209278,0.633887018048356,0.5833364864353551,3.9947747155613564,-13.938950545945229,-236.152,0.40123229768768376,-3.477554263201008,-17.38777131600504,-0.9594412812493631,-16.996452739773066,0.5102025836758661,0.5354521432765708,-43.20662177226791,-18.362963519085067,0.640373637778931,0.6995329527763363,-13.503215202279303,-17.563498445031293,0.6700927270696012,0.7554463188470562,-18.13196066106717
YM,True,borde,EMA20,cierre,VI usuario,9733,2.5366171488141775,0.6961882256241652,0.4483715195725881,6.407120073327222,-10.044158688768858,-650.152,0.5184902993464063,-2.6678738312955934,-13.339369156477968,-0.21206205691975752,-13.058550035654866,0.32945091514143093,0.678630853339672,-21.046553219834653,-12.716953642384112,0.5271523178807948,0.7264900662251655,-4.4836171951947525,-13.86756972111554,0.5433266932270916,0.703187250996016,-8.723146257052242
YM,True,borde,EMA20,cierre,NULO (sin VI),21835,5.690643732082356,0.6139226013281429,0.6114953057018548,3.768785513953902,-14.219228544629832,-157.152,0.41717881288532405,-3.21964238890691,-16.09821194453455,-0.6815649902350518,-16.57708742797623,0.5189739053516144,0.5144626271561256,-41.08205057884023,-14.685579977023638,0.681131468981035,0.6933461909353905,-10.778437252538279,-15.960863341032494,0.7232780698207305,0.7321741474592263,-15.995442193790225
YM,True,borde,EMA20,open sig.,VI usuario,9733,2.5366171488141775,0.6961882256241652,0.44446727627658483,6.38059361997226,-10.083570186794896,-630.152,0.5062638357338626,-2.7657881434295706,-13.828940717147853,-0.3099763690537347,-13.501858806750658,0.3242215355360114,0.678630853339672,-21.883252762387293,-12.918940397350998,0.5245033112582781,0.7264900662251655,-4.5683382304390125,-14.513735059760961,0.5403386454183267,0.703187250996016,-9.234397263170331
YM,True,borde,EMA20,open sig.,NULO (sin VI),21835,5.690643732082356,0.6139226013281429,0.563453171513625,4.055685353595027,-12.727548097677506,-153.152,0.41128843502372786,-3.2709819813044367,-16.354909906522185,-0.7329045826325787,-16.66863983841409,0.48898717381689516,0.5144626271561256,-41.46908018861111,-15.079344040025887,0.630665380906461,0.6933461909353905,-11.149082121307421,-16.411732730438075,0.6487397223345465,0.7321741474592263,-16.486600880393624
YM,True,borde,EMA50,cierre,VI usuario,9729,2.535574667709148,0.743652996196937,0.48905334566759173,6.493229087852038,-11.272700060350028,-1039.152,0.5513323151415062,-2.584212971528421,-12.921064857642106,-0.17586596772535718,-12.504351961950064,0.35885850178359097,0.725089179548157,-18.695448676171015,-10.995099337748348,0.5761589403973509,0.7695364238410596,-3.664753312781323,-14.082122571001499,0.5926756352765321,0.7533632286995515,-6.8443202764605005
YM,True,borde,EMA50,cierre,NULO (sin VI),21536,5.612718269481365,0.638651560178306,0.6380479197622585,3.93180056702977,-15.630828918248367,-238.152,0.443416338404158,-3.1489338700868297,-15.744669350434148,-0.6355854302651353,-15.812220073667525,0.5456020187454939,0.5385724585436193,-35.8013850846374,-13.943483798112721,0.7098445595854922,0.721178756476684,-9.553261334475618,-16.39925560731269,0.7474156692056583,0.7550326441784548,-14.645147218127475
YM,True,borde,EMA50,open sig.,VI usuario,9729,2.535574667709148,0.743652996196937,0.486586493987049,6.4667156738487535,-11.352200200200198,-1019.152,0.5398790637172811,-2.6817563983965473,-13.408781991982737,-0.2734093945934834,-12.943115338882286,0.35434007134363854,0.725089179548157,-19.42351295516677,-11.197086092715235,0.5728476821192053,0.7695364238410596,-3.74190338555155,-14.728609865470855,0.5926756352765321,0.7533632286995515,-7.22644404492194
YM,True,borde,EMA50,open sig.,NULO (sin VI),21536,5.612718269481365,0.638651560178306,0.5921712481426449,4.2236148928231465,-13.962905676234037,-234.152,0.43921583092666233,-3.1933710914835607,-15.966855457417804,-0.6800226516618664,-15.920817766529819,0.5183850036049027,0.5385724585436193,-36.140839116790275,-14.366087425055728,0.6564119170984456,0.721178756476684,-9.880343925294657,-16.70869521558255,0.676550598476605,0.7550326441784548,-14.941565524493512
YM,True,borde,ambas,cierre,VI usuario,9729,2.535574667709148,0.743652996196937,0.48905334566759173,6.493229087852038,-11.272700060350028,-1039.152,0.5513323151415062,-2.584212971528421,-12.921064857642106,-0.17586596772535718,-12.504351961950064,0.35885850178359097,0.725089179548157,-18.695448676171015,-10.995099337748348,0.5761589403973509,0.7695364238410596,-3.664753312781323,-14.082122571001499,0.5926756352765321,0.7533632286995515,-6.8443202764605005
YM,True,borde,ambas,cierre,NULO (sin VI),21536,5.612718269481365,0.638651560178306,0.6380479197622585,3.93180056702977,-15.630828918248367,-238.152,0.443416338404158,-3.1489338700868297,-15.744669350434148,-0.6355854302651353,-15.812220073667525,0.5456020187454939,0.5385724585436193,-35.8013850846374,-13.943483798112721,0.7098445595854922,0.721178756476684,-9.553261334475618,-16.39925560731269,0.7474156692056583,0.7550326441784548,-14.645147218127475
