sym,stop,objetivo,trail_EMA20,trades,por_dia,wr,gan_media_usd,perd_media_usd,pf,exp_usd,exp_R,t,DEV_usd,DEV_t,DEV_bruto_t,VAL1_usd,VAL1_t,VAL1_bruto_t,VAL2_usd,VAL2_t,VAL2_bruto_t
NQ,vela VI,2R,False,9892,2.578727841501564,0.30297209866558833,140.6464064064064,-89.50184191443073,0.6830447216338216,-19.773344116457746,-0.4644337556658675,-22.99064003620246,-17.746400462962967,-21.86202615964098,-1.9959383327879592,-13.677906008328378,-6.097056092233137,0.37492013371443794,-23.401430073606733,-8.89854088388575,-2.4923376383260134
NQ,vela VI,2R,True,9899,2.5805526590198125,0.29609051419335286,139.7278880928011,-86.6038576349024,0.6786620021539944,-19.58917466410749,-0.4631051023653519,-23.586233293823845,-17.779953730480052,-22.533263500605354,-1.8159923389302548,-14.21422116527943,-6.519366164666259,0.1871097810094675,-22.803496532885063,-8.946043554537615,-2.381737337542592
NQ,vela VI,3R,False,9754,2.542752867570386,0.24072175517736313,219.56367972742765,-89.80199297866592,0.775155638422914,-15.330945253229444,-0.4108759223334777,-17.432818000607316,-18.300959625512,-18.831670134740023,-2.404553796086592,-6.7207250755287005,-3.489336756780131,1.5721304936631455,-16.206485793633835,-4.895215549667332,0.19676480204080418
NQ,vela VI,3R,True,9776,2.548488008342023,0.23465630114566285,214.54078465562338,-85.90367816091953,0.7657267425523938,-15.402491816693944,-0.41058613647181785,-18.273546189663737,-18.30744525547446,-19.689868080369635,-2.219379918316648,-7.9407228915662635,-4.032731914835952,1.28657450390654,-15.922012364101466,-5.0994902599715655,0.2127551069115931
NQ,vela VI,sin objetivo,False,8364,2.1803962460896766,0.043400286944045914,1862.1601101928375,-89.33517810273715,0.9457075720333049,-4.639722620755618,-0.2671386333151379,-3.519971489081732,-13.535777414075287,-4.30085392118521,1.0531505408336612,-18.008734634851773,-1.9482608861365087,-0.31688786446023137,6.992165053489559,0.4140900213140103,1.9187566750452782
NQ,vela VI,sin objetivo,True,8808,2.2961418143899897,0.12908719346049047,459.0597009674582,-83.50214574371006,0.8148544014771424,-13.464359673024521,-0.36112214876293103,-9.567385022552061,-18.62790084719172,-10.764151560752444,-0.7706934342577465,-0.09878663940013298,-0.984313772361925,1.4907862768093587,-14.222927298988914,-2.9794388783519747,0.009238195184344204
NQ,0.1 ATR,1R,False,10521,2.7427007299270074,0.5117384279060926,290.5776207280832,-320.52552462526774,0.9501562495046427,-7.800561733675506,-0.08740994926634955,-8.927885797970353,-13.87883157989933,-11.955120758308782,1.4655414386669054,-16.771193023464768,-2.505331806284013,0.04794090149564686,2.468757112193762,0.08540606454244094,2.2383454996058387
NQ,0.1 ATR,1R,True,10906,2.843065693430657,0.35054098661287364,281.52154777474675,-172.46506847381053,0.8810439079703533,-13.324152105001177,-0.10295149319492178,-14.072175425415274,-16.044149409149462,-18.062510042015177,-0.0322539566540349,-6.761078981441633,-1.908518311566856,1.5678436086878311,-12.769404952729786,-2.1652741743901998,0.682595612328199
NQ,0.1 ATR,2R,False,9135,2.3813868613138687,0.35347564313081553,573.3331955935051,-313.08534710463954,1.0011956357261003,0.24201735866747384,-0.05608329326225326,-3.7389150127494433,-9.624824256339254,-5.8659719839108,3.0845040372099692,-7.151931502622572,-0.773994175144444,0.9167823049214703,15.040538508432853,0.9032335369703192,2.2894853497470935
NQ,0.1 ATR,2R,True,10051,2.620177267987487,0.2650482539050841,417.69433826683814,-162.93115975942294,0.9245290485408643,-9.037385334792585,-0.09003152572443344,-9.148795166723053,-15.322952276980732,-12.736934667750646,0.8594576598984301,2.506049267518786,-0.30225450741288834,2.231759852975109,-6.216345177664929,-0.8288798720854501,1.2783814139079421
NQ,0.1 ATR,3R,False,8261,2.153545359749739,0.27224306984626556,839.979249190116,-309.31744463454055,1.0158617944335664,3.570615456447519,-0.04652187741903366,-2.4036937623054544,-9.970995515035678,-4.676747683080698,2.336345384210124,17.18852772026706,0.7074857613150105,1.995889534601353,14.968398157858264,0.8525782947656024,1.9208804441301646
NQ,0.1 ATR,3R,True,9608,2.5046923879040666,0.25281015820149877,435.5043357054633,-160.04991801484488,0.920662785030727,-9.487752914238216,-0.0907797267686474,-8.14223849400657,-15.509247353598186,-11.218014298831152,0.8072552932582582,3.3551364036373164,-0.0909099589194801,2.103178652353815,-7.396324508378719,-0.9314306196023806,0.9320444671105942
