etiqueta,año,top,sym,n,wr,R,R_suma
y11,2019,0.05,YM,42,0.6904761904761905,0.33093107020541634,13.899104948627487
y11,2019,0.02,ES,16,0.625,0.1729710452767009,2.7675367244272144
y11,2019,0.02,NQ,19,0.47368421052631576,-0.07175258796536887,-1.3632991713420086
y11,2019,0.02,YM,12,0.5833333333333334,0.11664535591970134,1.399744271036416
y11,2020,1.0,ES,245,0.46530612244897956,-0.1429765740665927,-35.02926064631521
y11,2020,1.0,NQ,245,0.46938775510204084,-0.08034549881392226,-19.684647209410954
y11,2020,1.0,YM,244,0.45491803278688525,-0.1401852451731921,-34.20519982225888
y11,2020,0.2,ES,166,0.4457831325301205,-0.1855979169189584,-30.809254208547095
y11,2020,0.2,NQ,172,0.46511627906976744,-0.08888845087847132,-15.288813551097066
y11,2020,0.2,YM,170,0.43529411764705883,-0.17943307545284443,-30.503622826983552
y11,2020,0.1,ES,111,0.40540540540540543,-0.26642037566454585,-29.57266169876459
y11,2020,0.1,NQ,100,0.53,0.04087899098199286,4.087899098199286
y11,2020,0.1,YM,103,0.47572815533980584,-0.09856500006735137,-10.152195006937191
y11,2020,0.05,ES,59,0.4745762711864407,-0.12787641235042818,-7.544708328675263
y11,2020,0.05,NQ,52,0.5769230769230769,0.13472514482814543,7.005707531063562
y11,2020,0.05,YM,65,0.4307692307692308,-0.18848284920849837,-12.251385198552393
y11,2020,0.02,ES,20,0.4,-0.2770289547233151,-5.5405790944663025
y11,2020,0.02,NQ,19,0.631578947368421,0.2440368857188258,4.63670082865769
y11,2020,0.02,YM,22,0.4090909090909091,-0.23183949256514202,-5.100468836433125
y11,2021,1.0,ES,251,0.4860557768924303,-0.10491740093844379,-26.33426763554939
y11,2021,1.0,NQ,251,0.5059760956175299,-0.009626002457875555,-2.416126616926764
y11,2021,1.0,YM,251,0.4581673306772908,-0.13368664939238067,-33.55534899748755
y11,2021,0.2,ES,161,0.4968944099378882,-0.08324013484752317,-13.401661710451231
y11,2021,0.2,NQ,158,0.5379746835443038,0.05292485583384554,8.362127221747595
y11,2021,0.2,YM,155,0.4645161290322581,-0.12098905268244607,-18.75330316577914
y11,2021,0.1,ES,110,0.5272727272727272,-0.022483500177853347,-2.4731850195638683
y11,2021,0.1,NQ,100,0.6,0.17471145744791902,17.4711457447919
y11,2021,0.1,YM,92,0.4673913043478261,-0.11523870205131405,-10.601960588720893
y11,2021,0.05,ES,65,0.5692307692307692,0.06143258373822741,3.9931179429847816
y11,2021,0.05,NQ,59,0.559322033898305,0.08906961211067414,5.255107114529775
y11,2021,0.05,YM,46,0.43478260869565216,-0.18045609335565616,-8.300980294360183
y11,2021,0.02,ES,28,0.6071428571428571,0.13725675956241884,3.8431892677477273
y11,2021,0.02,NQ,29,0.5862068965517241,0.15329278408544744,4.445490738477976
