tipo,R,S,rr,K,G,colchon,cons,cons_pcobra,cons_dias,opt,opt_pcobra,opt_dias,prom
growth,150,30,2.0,1,300.0,-1,121.5,0.07,102.118,650.3503540642657,0.288,142.70466666666667,385.92517703213286
growth,150,30,2.0,1,300.0,2500,47.7,0.028,104.646,351.0,0.17066666666666666,152.02,199.35
growth,150,30,2.0,1,600.0,-1,121.5,0.07,102.118,650.3503540642657,0.288,142.70466666666667,385.92517703213286
growth,150,30,2.0,1,600.0,2500,47.7,0.028,104.646,351.0,0.17066666666666666,152.02,199.35
growth,150,30,2.0,1,1000000000.0,-1,121.5,0.07,102.118,650.3503540642657,0.288,142.70466666666667,385.92517703213286
growth,150,30,2.0,1,1000000000.0,2500,47.7,0.028,104.646,351.0,0.17066666666666666,152.02,199.35
growth,150,30,2.0,2,300.0,-1,239.4,0.12133333333333333,61.03066666666667,520.0675738575926,0.20333333333333334,74.966,379.7337869287963
growth,150,30,2.0,2,300.0,2500,137.7,0.07,66.41066666666667,374.4,0.148,85.61533333333334,256.04999999999995
growth,150,30,2.0,2,600.0,-1,239.4,0.12133333333333333,61.03066666666667,520.0675738575926,0.20333333333333334,74.966,379.7337869287963
growth,150,30,2.0,2,600.0,2500,137.7,0.07,66.41066666666667,374.4,0.148,85.61533333333334,256.04999999999995
growth,150,30,2.0,2,1000000000.0,-1,239.4,0.12133333333333333,61.03066666666667,520.0675738575926,0.20333333333333334,74.966,379.7337869287963
growth,150,30,2.0,2,1000000000.0,2500,137.7,0.07,66.41066666666667,374.4,0.148,85.61533333333334,256.04999999999995
growth,150,30,3.0,1,300.0,-1,467.86462910245854,0.20333333333333334,96.306,1098.9471857945844,0.362,113.73266666666666,783.4059074485215
growth,150,30,3.0,1,300.0,2500,290.7,0.13333333333333333,105.01266666666666,785.7,0.288,132.51466666666667,538.2
growth,150,30,3.0,1,600.0,-1,467.86462910245854,0.20333333333333334,96.306,1098.9471857945844,0.362,113.73266666666666,783.4059074485215
growth,150,30,3.0,1,600.0,2500,290.7,0.13333333333333333,105.01266666666666,785.7,0.288,132.51466666666667,538.2
growth,150,30,3.0,1,1000000000.0,-1,467.86462910245854,0.20333333333333334,96.306,1098.9471857945844,0.362,113.73266666666666,783.4059074485215
growth,150,30,3.0,1,1000000000.0,2500,290.7,0.13333333333333333,105.01266666666666,785.7,0.288,132.51466666666667,538.2
growth,150,30,3.0,2,300.0,-1,435.3628778853798,0.17666666666666667,55.32866666666666,930.5020061233845,0.31333333333333335,66.16533333333334,682.9324420043822
growth,150,30,3.0,2,300.0,2500,306.9,0.12,63.134,849.6,0.25466666666666665,87.94333333333333,578.25
growth,150,30,3.0,2,600.0,-1,528.3,0.21666666666666667,58.507333333333335,1562.3364233937723,0.4073333333333333,81.436,1045.318211696886
growth,150,30,3.0,2,600.0,2500,397.8,0.154,67.46533333333333,1463.4,0.3526666666666667,101.088,930.6
growth,150,30,3.0,2,1000000000.0,-1,528.3,0.21666666666666667,58.507333333333335,1562.3364233937723,0.4073333333333333,81.436,1045.318211696886
growth,150,30,3.0,2,1000000000.0,2500,397.8,0.154,67.46533333333333,1463.4,0.3526666666666667,101.088,930.6
growth,150,45,1.5,1,300.0,-1,0.0,0.0,161.964,0.0,0.0,210.66066666666666,0.0
growth,150,45,1.5,1,300.0,2500,0.0,0.0,161.964,0.0,0.0,210.66066666666666,0.0
growth,150,45,1.5,1,600.0,-1,0.0,0.0,161.964,0.0,0.0,210.66066666666666,0.0
growth,150,45,1.5,1,600.0,2500,0.0,0.0,161.964,0.0,0.0,210.66066666666666,0.0
growth,150,45,1.5,1,1000000000.0,-1,0.0,0.0,161.964,0.0,0.0,210.66066666666666,0.0
growth,150,45,1.5,1,1000000000.0,2500,0.0,0.0,161.964,0.0,0.0,210.66066666666666,0.0
growth,150,45,1.5,2,300.0,-1,123.3,0.08066666666666666,115.0,592.005947125234,0.2733333333333333,153.22733333333332,357.652973562617
growth,150,45,1.5,2,300.0,2500,37.8,0.024666666666666667,117.42333333333333,313.2,0.166,158.93933333333334,175.5
growth,150,45,1.5,2,600.0,-1,123.3,0.08066666666666666,115.0,592.005947125234,0.2733333333333333,153.22733333333332,357.652973562617
growth,150,45,1.5,2,600.0,2500,37.8,0.024666666666666667,117.42333333333333,313.2,0.166,158.93933333333334,175.5
growth,150,45,1.5,2,1000000000.0,-1,123.3,0.08066666666666666,115.0,592.005947125234,0.2733333333333333,153.22733333333332,357.652973562617
growth,150,45,1.5,2,1000000000.0,2500,37.8,0.024666666666666667,117.42333333333333,313.2,0.166,158.93933333333334,175.5
growth,150,45,2.0,1,300.0,-1,99.0,0.062,163.146,594.7997528101895,0.31333333333333335,206.008,346.89987640509474
growth,150,45,2.0,1,300.0,2500,28.8,0.018666666666666668,163.75666666666666,282.6,0.16,207.82333333333332,155.70000000000002
growth,150,45,2.0,1,600.0,-1,99.0,0.062,163.146,594.7997528101895,0.31333333333333335,206.008,346.89987640509474
growth,150,45,2.0,1,600.0,2500,28.8,0.018666666666666668,163.75666666666666,282.6,0.16,207.82333333333332,155.70000000000002
growth,150,45,2.0,1,1000000000.0,-1,99.0,0.062,163.146,594.7997528101895,0.31333333333333335,206.008,346.89987640509474
growth,150,45,2.0,1,1000000000.0,2500,28.8,0.018666666666666668,163.75666666666666,282.6,0.16,207.82333333333332,155.70000000000002
growth,150,45,2.0,2,300.0,-1,394.2,0.19866666666666666,121.48,1381.8492652695215,0.46066666666666667,149.75066666666666,888.0246326347608
growth,150,45,2.0,2,300.0,2500,210.6,0.11333333333333333,128.45733333333334,924.3,0.35933333333333334,165.56933333333333,567.4499999999999
growth,150,45,2.0,2,600.0,-1,394.2,0.19866666666666666,121.48,1381.8492652695215,0.46066666666666667,149.75066666666666,888.0246326347608
growth,150,45,2.0,2,600.0,2500,210.6,0.11333333333333333,128.45733333333334,924.3,0.35933333333333334,165.56933333333333,567.4499999999999
growth,150,45,2.0,2,1000000000.0,-1,394.2,0.19866666666666666,121.48,1381.8492652695215,0.46066666666666667,149.75066666666666,888.0246326347608
growth,150,45,2.0,2,1000000000.0,2500,210.6,0.11333333333333333,128.45733333333334,924.3,0.35933333333333334,165.56933333333333,567.4499999999999
growth,150,45,3.0,1,300.0,-1,226.77863969331236,0.132,142.75533333333334,1269.2208232984196,0.49733333333333335,189.766,747.999731495866
growth,150,45,3.0,1,300.0,2500,85.5,0.051333333333333335,146.096,727.2,0.3273333333333333,198.026,406.35
growth,150,45,3.0,1,600.0,-1,226.77863969331236,0.132,142.75533333333334,1269.2208232984196,0.49733333333333335,189.766,747.999731495866
growth,150,45,3.0,1,600.0,2500,85.5,0.051333333333333335,146.096,727.2,0.3273333333333333,198.026,406.35
growth,150,45,3.0,1,1000000000.0,-1,226.77863969331236,0.132,142.75533333333334,1269.2208232984196,0.49733333333333335,189.766,747.999731495866
growth,150,45,3.0,1,1000000000.0,2500,85.5,0.051333333333333335,146.096,727.2,0.3273333333333333,198.026,406.35
growth,150,45,3.0,2,300.0,-1,785.6043052421684,0.31333333333333335,107.758,1587.8761427926815,0.44866666666666666,121.83666666666667,1186.740224017425
growth,150,45,3.0,2,300.0,2500,507.6,0.218,121.896,1213.2,0.39066666666666666,141.984,860.4000000000001
growth,150,45,3.0,2,600.0,-1,785.6043052421684,0.31333333333333335,107.758,1587.8761427926815,0.44866666666666666,121.83666666666667,1186.740224017425
growth,150,45,3.0,2,600.0,2500,507.6,0.218,121.896,1213.2,0.39066666666666666,141.984,860.4000000000001
growth,150,45,3.0,2,1000000000.0,-1,785.6043052421684,0.31333333333333335,107.758,1587.8761427926815,0.44866666666666666,121.83666666666667,1186.740224017425
growth,150,45,3.0,2,1000000000.0,2500,507.6,0.218,121.896,1213.2,0.39066666666666666,141.984,860.4000000000001
growth,150,60,1.5,1,300.0,-1,201.59529139196206,0.118,147.06133333333332,1016.3218110767672,0.43466666666666665,191.348,608.9585512343647
growth,150,60,1.5,1,300.0,2500,71.1,0.04,149.71066666666667,553.5,0.27466666666666667,197.124,312.3
growth,150,60,1.5,1,600.0,-1,201.59529139196206,0.118,147.06133333333332,1016.3218110767672,0.43466666666666665,191.348,608.9585512343647
growth,150,60,1.5,1,600.0,2500,71.1,0.04,149.71066666666667,553.5,0.27466666666666667,197.124,312.3
growth,150,60,1.5,1,1000000000.0,-1,201.59529139196206,0.118,147.06133333333332,1016.3218110767672,0.43466666666666665,191.348,608.9585512343647
growth,150,60,1.5,1,1000000000.0,2500,71.1,0.04,149.71066666666667,553.5,0.27466666666666667,197.124,312.3
growth,150,60,1.5,2,300.0,-1,590.9394991285045,0.26466666666666666,107.00866666666667,1610.4907661673928,0.48133333333333334,126.81,1100.7151326479486
growth,150,60,1.5,2,300.0,2500,341.1,0.156,119.138,1207.8,0.4106666666666667,151.39733333333334,774.45
growth,150,60,1.5,2,600.0,-1,590.9394991285045,0.26466666666666666,107.00866666666667,1610.4907661673928,0.48133333333333334,126.81,1100.7151326479486
growth,150,60,1.5,2,600.0,2500,341.1,0.156,119.138,1207.8,0.4106666666666667,151.39733333333334,774.45
growth,150,60,1.5,2,1000000000.0,-1,590.9394991285045,0.26466666666666666,107.00866666666667,1610.4907661673928,0.48133333333333334,126.81,1100.7151326479486
growth,150,60,1.5,2,1000000000.0,2500,341.1,0.156,119.138,1207.8,0.4106666666666667,151.39733333333334,774.45
growth,150,60,2.0,1,300.0,-1,424.6571084933824,0.21266666666666667,139.75066666666666,1550.8150681301247,0.5446666666666666,179.28,987.7360883117535
growth,150,60,2.0,1,300.0,2500,192.6,0.10466666666666667,145.72333333333333,1015.2,0.41533333333333333,192.844,603.9
growth,150,60,2.0,1,600.0,-1,424.6571084933824,0.21266666666666667,139.75066666666666,1550.8150681301247,0.5446666666666666,179.28,987.7360883117535
growth,150,60,2.0,1,600.0,2500,192.6,0.10466666666666667,145.72333333333333,1015.2,0.41533333333333333,192.844,603.9
growth,150,60,2.0,1,1000000000.0,-1,424.6571084933824,0.21266666666666667,139.75066666666666,1550.8150681301247,0.5446666666666666,179.28,987.7360883117535
