tipo,modo,t_ini,S,T,rr,R,K,G,L,rfrac,colchon,cons_ev,cons_pcobra,cons_nret,cons_dias,cons_pap,cons_neto_cupo,cons_neto_año,opt_ev,opt_pcobra,opt_nret,opt_dias,opt_pap,opt_neto_cupo,opt_neto_año,min_neto_cupo,min_neto_año,min_pcobra,rr_b
growth,2,16,6.0,13.5,2.25,234.02026335593047,5,225.0,1000000000.0,0.1,-1.0,7.714285714285714,0.0042857142857142,0.0057142857142857,250.0,0.3891,-231.2988214561075,-231.75866006735225,0.0,0.0,0.0,250.0,0.43365,-214.45866482186096,-214.8850239964571,-231.2988214561075,-231.75866006735225,0.0,2-3.5
select_flex,0,1,90.25,433.5,4.803324099722992,48.84487803586696,2,225.0,1000000000.0,0.25,-1.0,0.0,0.0,0.0,250.0,0.2908,-340.4401650618982,-320.11537908805354,0.0,0.0,0.0,250.0,0.31655,-312.74680145316694,-294.07535062014205,-340.4401650618982,-320.11537908805354,0.0,>3.5 (WR bajo)
growth,2,31,32.75,16.75,0.5114503816793893,556.7564089874585,2,450.0,1000000000.0,0.5,2500.0,81.0,0.0457142857142857,0.06,250.0,0.3915,-156.5478927203065,-156.8591211352574,111.85714285714286,0.0485714285714285,0.0785714285714285,250.0,0.39775,-121.95806770225374,-122.20052906945504,-156.5478927203065,-156.8591211352574,0.0457142857142857,0.3-0.6 (WR alto)
select_flex,3,16,9.75,39.75,4.076923076923077,43.34788914083733,5,150.0,43.34788914083733,0.5,-1.0,80.40922642989325,0.2071428571428571,0.3014285714285714,250.0,0.2099,-391.24394174542834,-367.88609447704454,42.4122798214286,0.1285714285714285,0.1685714285714285,250.0,0.1834,-497.3914279212105,-467.6964172990487,-497.3914279212105,-467.6964172990487,0.1285714285714285,>3.5 (WR bajo)
growth,1,1,45.0,30.25,0.6722222222222223,54.861495362699145,2,150.0,1000000000.0,0.25,2500.0,0.0,0.0,0.0,250.0,0.4027,-230.94114725602185,-231.40027478535788,0.0,0.0,0.0,250.0,0.39055,-238.12572013826653,-238.59913111269648,-238.12572013826653,-238.59913111269648,0.0,0.6-1
select_flex,2,16,36.25,33.0,0.9103448275862068,826.753546664346,2,1000000000.0,826.753546664346,0.0,-1.0,424.78622326177685,0.1771428571428571,0.2528571428571428,9.555714285714286,0.306,101.25681149707094,926.0045387569761,774.414315,0.2457142857142857,0.4385714285714285,12.414285714285716,0.4259,541.9653833258981,4490.497586598798,101.25681149707094,926.0045387569761,0.1771428571428571,0.6-1
growth,1,1,63.5,77.25,1.2165354330708662,377.03347070932034,8,150.0,754.0669414186407,0.25,2500.0,202.5,0.0828571428571428,0.1442857142857143,250.0,0.4027,-28.44114725602185,-28.49769029231613,109.92857142857144,0.0442857142857142,0.0771428571428571,250.0,0.39055,-128.1971487096951,-128.45201381647382,-128.1971487096951,-128.45201381647382,0.0442857142857142,1-2
select_flex,3,16,36.25,87.75,2.420689655172414,63.2585154721756,2,900.0,126.5170309443512,0.0,-1.0,0.0,0.0,0.0,250.0,0.2099,-471.6531681753216,-443.49477007530237,0.0,0.0,0.0,250.0,0.1834,-539.8037077426391,-507.5766207132278,-539.8037077426391,-507.5766207132278,0.0,2-3.5
growth,2,16,59.5,7.75,0.1302521008403361,315.0637306994028,3,1000000000.0,630.1274613988056,0.25,2500.0,0.0,0.0,0.0,250.0,0.3891,-239.01310717039323,-239.48828233375386,0.0,0.0,0.0,250.0,0.43365,-214.45866482186096,-214.8850239964571,-239.01310717039323,-239.48828233375386,0.0,<0.3 (WR muy alto)
select_flex,1,1,42.75,16.0,0.3742690058479532,388.7340740003269,8,150.0,777.4681480006539,0.0,-1.0,452.94893785144063,0.4885714285714285,1.052857142857143,18.114285714285717,0.3276,150.7511356536384,1051.9185256844073,270.6261856729652,0.3657142857142857,0.68,15.64,0.29715,-62.53888247443507,-468.48389963013193,-62.53888247443507,-468.48389963013193,0.3657142857142857,0.3-0.6 (WR alto)
