tipo,size,fr,R,S,rr,K,G,L,reserva,ev,p_cobra,n_ret,quiebra,dias,sd
growth,25,0.05,50.0,10,2.0,1,200.0,100.0,500,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,200.0,1000000000.0,0,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,200.0,1000000000.0,500,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,400.0,50.0,0,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,400.0,50.0,500,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,400.0,100.0,0,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,400.0,100.0,500,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,400.0,1000000000.0,0,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,400.0,1000000000.0,500,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,1000000000.0,50.0,0,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,1000000000.0,50.0,500,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,1000000000.0,100.0,0,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,1000000000.0,100.0,500,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,1000000000.0,1000000000.0,0,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,1000000000.0,1000000000.0,500,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,2,100.0,50.0,0,0.0,0.0,0.0,0.9425,63.4175,0.0
growth,25,0.05,50.0,10,2.0,2,100.0,50.0,500,0.0,0.0,0.0,0.9425,63.4175,0.0
growth,25,0.05,50.0,10,2.0,2,100.0,100.0,0,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,100.0,100.0,500,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,100.0,1000000000.0,0,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,100.0,1000000000.0,500,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,200.0,50.0,0,0.0,0.0,0.0,0.9425,63.4175,0.0
growth,25,0.05,50.0,10,2.0,2,200.0,50.0,500,0.0,0.0,0.0,0.9425,63.4175,0.0
growth,25,0.05,50.0,10,2.0,2,200.0,100.0,0,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,200.0,100.0,500,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,200.0,1000000000.0,0,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,200.0,1000000000.0,500,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,400.0,50.0,0,0.0,0.0,0.0,0.9425,63.4175,0.0
growth,25,0.05,50.0,10,2.0,2,400.0,50.0,500,0.0,0.0,0.0,0.9425,63.4175,0.0
growth,25,0.05,50.0,10,2.0,2,400.0,100.0,0,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,400.0,100.0,500,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,400.0,1000000000.0,0,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,400.0,1000000000.0,500,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,1000000000.0,50.0,0,0.0,0.0,0.0,0.9425,63.4175,0.0
growth,25,0.05,50.0,10,2.0,2,1000000000.0,50.0,500,0.0,0.0,0.0,0.9425,63.4175,0.0
growth,25,0.05,50.0,10,2.0,2,1000000000.0,100.0,0,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,1000000000.0,100.0,500,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,1000000000.0,1000000000.0,0,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,2,1000000000.0,1000000000.0,500,0.0,0.0,0.0,0.973,42.38,0.0
growth,25,0.05,50.0,10,2.0,3,100.0,50.0,0,0.0,0.0,0.0,0.9565,56.46,0.0
growth,25,0.05,50.0,10,2.0,3,100.0,50.0,500,0.0,0.0,0.0,0.9565,56.46,0.0
growth,25,0.05,50.0,10,2.0,3,100.0,100.0,0,0.0,0.0,0.0,0.98,35.738,0.0
growth,25,0.05,50.0,10,2.0,3,100.0,100.0,500,0.0,0.0,0.0,0.98,35.738,0.0
growth,25,0.05,50.0,10,2.0,3,100.0,1000000000.0,0,0.0,0.0,0.0,0.9725,31.552,0.0
growth,25,0.05,50.0,10,2.0,3,100.0,1000000000.0,500,0.0,0.0,0.0,0.9725,31.552,0.0
growth,25,0.05,50.0,10,2.0,3,200.0,50.0,0,0.0,0.0,0.0,0.9615,53.561,0.0
growth,25,0.05,50.0,10,2.0,3,200.0,50.0,500,0.0,0.0,0.0,0.9615,53.561,0.0
growth,25,0.05,50.0,10,2.0,3,200.0,100.0,0,0.0,0.0,0.0,0.98,35.1055,0.0
growth,25,0.05,50.0,10,2.0,3,200.0,100.0,500,0.0,0.0,0.0,0.98,35.1055,0.0
growth,25,0.05,50.0,10,2.0,3,200.0,1000000000.0,0,0.0,0.0,0.0,0.9755,30.42,0.0
growth,25,0.05,50.0,10,2.0,3,200.0,1000000000.0,500,0.0,0.0,0.0,0.9755,30.42,0.0
growth,25,0.05,50.0,10,2.0,3,400.0,50.0,0,0.0,0.0,0.0,0.9615,53.561,0.0
growth,25,0.05,50.0,10,2.0,3,400.0,50.0,500,0.0,0.0,0.0,0.9615,53.561,0.0
growth,25,0.05,50.0,10,2.0,3,400.0,100.0,0,0.0,0.0,0.0,0.98,35.1055,0.0
growth,25,0.05,50.0,10,2.0,3,400.0,100.0,500,0.0,0.0,0.0,0.98,35.1055,0.0
growth,25,0.05,50.0,10,2.0,3,400.0,1000000000.0,0,0.0,0.0,0.0,0.9755,30.42,0.0
growth,25,0.05,50.0,10,2.0,3,400.0,1000000000.0,500,0.0,0.0,0.0,0.9755,30.42,0.0
growth,25,0.05,50.0,10,2.0,3,1000000000.0,50.0,0,0.0,0.0,0.0,0.9615,53.561,0.0
growth,25,0.05,50.0,10,2.0,3,1000000000.0,50.0,500,0.0,0.0,0.0,0.9615,53.561,0.0
growth,25,0.05,50.0,10,2.0,3,1000000000.0,100.0,0,0.0,0.0,0.0,0.98,35.1055,0.0
growth,25,0.05,50.0,10,2.0,3,1000000000.0,100.0,500,0.0,0.0,0.0,0.98,35.1055,0.0
growth,25,0.05,50.0,10,2.0,3,1000000000.0,1000000000.0,0,0.0,0.0,0.0,0.9755,30.42,0.0
growth,25,0.05,50.0,10,2.0,3,1000000000.0,1000000000.0,500,0.0,0.0,0.0,0.9755,30.42,0.0
growth,25,0.05,50.0,10,3.0,1,100.0,50.0,0,5.4,0.006,0.006,0.6675,84.851,69.50424447470817
growth,25,0.05,50.0,10,3.0,1,100.0,50.0,500,5.1328750802726,0.006,0.006,0.667,84.867,66.10258803962725
growth,25,0.05,50.0,10,3.0,1,100.0,100.0,0,5.4,0.006,0.006,0.6675,84.851,69.50424447470817
growth,25,0.05,50.0,10,3.0,1,100.0,100.0,500,5.1328750802726,0.006,0.006,0.667,84.867,66.10258803962725
growth,25,0.05,50.0,10,3.0,1,100.0,1000000000.0,0,5.4,0.006,0.006,0.6675,84.851,69.50424447470817
growth,25,0.05,50.0,10,3.0,1,100.0,1000000000.0,500,5.1328750802726,0.006,0.006,0.667,84.867,66.10258803962725
growth,25,0.05,50.0,10,3.0,1,200.0,50.0,0,5.4,0.006,0.006,0.6675,84.851,69.50424447470817
growth,25,0.05,50.0,10,3.0,1,200.0,50.0,500,5.1328750802726,0.006,0.006,0.667,84.867,66.10258803962725
growth,25,0.05,50.0,10,3.0,1,200.0,100.0,0,5.4,0.006,0.006,0.6675,84.851,69.50424447470817
growth,25,0.05,50.0,10,3.0,1,200.0,100.0,500,5.1328750802726,0.006,0.006,0.667,84.867,66.10258803962725
growth,25,0.05,50.0,10,3.0,1,200.0,1000000000.0,0,5.4,0.006,0.006,0.6675,84.851,69.50424447470817
growth,25,0.05,50.0,10,3.0,1,200.0,1000000000.0,500,5.1328750802726,0.006,0.006,0.667,84.867,66.10258803962725
growth,25,0.05,50.0,10,3.0,1,400.0,50.0,0,5.4,0.006,0.006,0.6675,84.851,69.50424447470817
growth,25,0.05,50.0,10,3.0,1,400.0,50.0,500,5.1328750802726,0.006,0.006,0.667,84.867,66.10258803962725
growth,25,0.05,50.0,10,3.0,1,400.0,100.0,0,5.4,0.006,0.006,0.6675,84.851,69.50424447470817
growth,25,0.05,50.0,10,3.0,1,400.0,100.0,500,5.1328750802726,0.006,0.006,0.667,84.867,66.10258803962725
growth,25,0.05,50.0,10,3.0,1,400.0,1000000000.0,0,5.4,0.006,0.006,0.6675,84.851,69.50424447470817
growth,25,0.05,50.0,10,3.0,1,400.0,1000000000.0,500,5.1328750802726,0.006,0.006,0.667,84.867,66.10258803962725
growth,25,0.05,50.0,10,3.0,1,1000000000.0,50.0,0,5.4,0.006,0.006,0.6675,84.851,69.50424447470817
growth,25,0.05,50.0,10,3.0,1,1000000000.0,50.0,500,5.1328750802726,0.006,0.006,0.667,84.867,66.10258803962725
