R,S,rr,K,G,colchon,ev,p_cobra,n_ret,dias,neto_cupo,neto_cupo_año
100,40,2,2,600.0,1000,277.2,0.14866666666666667,0.20466666666666666,133.21466666666666,43.00206497104003,81.34630100315847
100,40,2,2,600.0,1500,277.2,0.14866666666666667,0.20466666666666666,133.21466666666666,43.00206497104003,81.34630100315847
100,40,2,2,600.0,2500,125.1,0.07466666666666667,0.09266666666666666,137.236,-109.09793502895997,-200.33139720844324
100,40,2,2,1000000000.0,-1,280.7806292798781,0.14866666666666667,0.206,133.16866666666667,46.58269425091814,88.15015757884514
100,40,2,2,1000000000.0,0,280.8,0.14866666666666667,0.206,133.16866666666667,46.60206497104005,88.18681350995048
100,40,2,2,1000000000.0,500,279.0,0.14866666666666667,0.20533333333333334,133.20533333333333,44.80206497104004,84.75726977424895
100,40,2,2,1000000000.0,1000,277.2,0.14866666666666667,0.20466666666666666,133.21466666666666,43.00206497104003,81.34630100315847
100,40,2,2,1000000000.0,1500,277.2,0.14866666666666667,0.20466666666666666,133.21466666666666,43.00206497104003,81.34630100315847
100,40,2,2,1000000000.0,2500,125.1,0.07466666666666667,0.09266666666666666,137.236,-109.09793502895997,-200.33139720844324
100,40,3,1,300.0,-1,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,300.0,0,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,300.0,500,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,300.0,1000,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,300.0,1500,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,300.0,2500,67.5,0.042,0.05,162.72733333333332,-166.69793502895996,-258.14888480503936
100,40,3,1,600.0,-1,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,600.0,0,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,600.0,500,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,600.0,1000,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,600.0,1500,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,600.0,2500,67.5,0.042,0.05,162.72733333333332,-166.69793502895996,-258.14888480503936
100,40,3,1,1000000000.0,-1,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,1000000000.0,0,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,1000000000.0,500,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,1000000000.0,1000,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,1000000000.0,1500,203.4,0.12066666666666667,0.15066666666666667,160.66466666666668,-30.797935028959955,-48.30607617915104
100,40,3,1,1000000000.0,2500,67.5,0.042,0.05,162.72733333333332,-166.69793502895996,-258.14888480503936
100,40,3,2,300.0,-1,500.26238634324096,0.20866666666666667,0.35933333333333334,107.23466666666667,266.064451314281,625.2478215800749
100,40,3,2,300.0,0,500.4,0.20866666666666667,0.35933333333333334,107.23466666666667,266.20206497104004,625.5712117912934
