plan,fr,S,rr,K,G,cons,cons_dias,opt,opt_dias,prom
select,0.6,30,3.0,2,960.0,0.1205,4.0,0.14125,4.0,0.130875
select,0.6,30,4.0,1,960.0,0.08775,8.0,0.11925,8.0,0.1035
select,0.6,30,4.0,2,960.0,0.0805,5.0,0.1135,5.0,0.097
select,0.6,45,1.5,1,960.0,0.16425,5.0,0.21925,5.0,0.19175
select,0.6,45,1.5,2,960.0,0.16775,4.0,0.20825,4.0,0.188
select,0.6,45,2.0,1,960.0,0.13475,6.0,0.18775,6.0,0.16125
select,0.6,45,2.0,2,960.0,0.1525,4.0,0.171,4.0,0.16175
select,0.6,45,3.0,1,960.0,0.1135,7.0,0.162,6.0,0.13775
select,0.6,45,3.0,2,960.0,0.126,5.0,0.1485,5.0,0.13724999999999998
select,0.6,45,4.0,1,960.0,0.09675,8.0,0.133,8.0,0.114875
select,0.6,45,4.0,2,960.0,0.10825,6.0,0.11775,5.0,0.11299999999999999
select,0.6,60,1.5,1,960.0,0.1915,5.0,0.24225,5.0,0.21687499999999998
select,0.6,60,1.5,2,960.0,0.1885,4.0,0.23375,4.0,0.211125
select,0.6,60,2.0,1,960.0,0.15475,6.0,0.2015,6.0,0.178125
select,0.6,60,2.0,2,960.0,0.156,4.0,0.188,4.0,0.172
select,0.6,60,3.0,1,960.0,0.13425,7.0,0.167,7.0,0.150625
select,0.6,60,3.0,2,960.0,0.135,5.0,0.15725,5.0,0.146125
select,0.6,60,4.0,1,960.0,0.1075,10.0,0.1355,9.0,0.1215
select,0.6,60,4.0,2,960.0,0.11275,6.0,0.125,6.0,0.11887500000000001
select,0.6,90,1.5,1,960.0,0.19325,6.0,0.23375,5.0,0.21350000000000002
select,0.6,90,1.5,2,960.0,0.19225,5.0,0.2255,4.0,0.208875
select,0.6,90,2.0,1,960.0,0.1675,7.0,0.18725,6.0,0.177375
select,0.6,90,2.0,2,960.0,0.167,5.5,0.17725,5.0,0.172125
select,0.6,90,3.0,1,960.0,0.1335,9.0,0.15625,8.0,0.144875
select,0.6,90,3.0,2,960.0,0.14525,7.0,0.15875,5.0,0.152
select,0.6,90,4.0,1,960.0,0.115,11.0,0.12825,10.0,0.12162500000000001
select,0.6,90,4.0,2,960.0,0.124,8.0,0.132,7.0,0.128
select,1.0,30,1.5,1,960.0,0.11975,3.0,0.156,3.0,0.137875
select,1.0,30,1.5,2,960.0,0.1185,3.0,0.14625,3.0,0.132375
select,1.0,30,2.0,1,960.0,0.094,5.0,0.1385,5.0,0.11625
select,1.0,30,2.0,2,960.0,0.09625,4.0,0.124,4.0,0.110125
select,1.0,30,3.0,1,960.0,0.076,6.0,0.105,6.0,0.0905
select,1.0,30,3.0,2,960.0,0.07375,4.0,0.0995,4.0,0.08662500000000001
select,1.0,30,4.0,1,960.0,0.05975,9.0,0.085,8.5,0.072375
select,1.0,30,4.0,2,960.0,0.0495,6.0,0.07925,6.0,0.064375
select,1.0,45,1.5,1,960.0,0.11725,5.0,0.1645,5.0,0.140875
select,1.0,45,1.5,2,960.0,0.11975,4.0,0.15625,4.0,0.138
select,1.0,45,2.0,1,960.0,0.10075,5.0,0.14375,5.0,0.12225
select,1.0,45,2.0,2,960.0,0.105,4.0,0.1355,4.0,0.12025
select,1.0,45,3.0,1,960.0,0.07275,7.0,0.108,6.0,0.090375
select,1.0,45,3.0,2,960.0,0.081,5.0,0.1015,4.0,0.09125
select,1.0,45,4.0,1,960.0,0.06325,9.0,0.08725,9.0,0.07525
select,1.0,45,4.0,2,960.0,0.06825,6.0,0.079,6.0,0.073625
select,1.0,60,1.5,1,960.0,0.13075,4.0,0.16825,5.0,0.14950000000000002
select,1.0,60,1.5,2,960.0,0.127,4.0,0.16275,4.0,0.144875
select,1.0,60,2.0,1,960.0,0.10775,5.0,0.139,5.0,0.12337500000000001
select,1.0,60,2.0,2,960.0,0.1045,4.0,0.13225,4.0,0.11837500000000001
select,1.0,60,3.0,1,960.0,0.0755,7.0,0.09475,7.0,0.085125
select,1.0,60,3.0,2,960.0,0.07875,5.0,0.095,5.0,0.08687500000000001
select,1.0,60,4.0,1,960.0,0.06375,9.0,0.07825,9.0,0.07100000000000001
select,1.0,60,4.0,2,960.0,0.06525,7.0,0.07275,6.0,0.069
select,1.0,90,1.5,1,960.0,0.14075,5.0,0.17325,5.0,0.15699999999999997
select,1.0,90,1.5,2,960.0,0.14125,4.0,0.1625,4.0,0.15187499999999998
select,1.0,90,2.0,1,960.0,0.118,6.0,0.141,6.0,0.1295
select,1.0,90,2.0,2,960.0,0.12325,5.0,0.13575,5.0,0.1295
select,1.0,90,3.0,1,960.0,0.09525,8.0,0.105,7.0,0.10012499999999999
select,1.0,90,3.0,2,960.0,0.1,6.0,0.1045,5.0,0.10225000000000001
select,1.0,90,4.0,1,960.0,0.08025,9.0,0.08975,9.0,0.08499999999999999
select,1.0,90,4.0,2,960.0,0.086,7.0,0.08925,6.0,0.087625
