forma,Rusd,K,cons_aprueba,cons_ev,cons_cobra,cons_vida,cons_neto_examen,opt_aprueba,opt_ev,opt_cobra,opt_vida,opt_neto_examen,min_neto
parcial 1R+BE+cierre,400,3,0.081,793.8740949591084,0.4036666666666667,16.608666666666668,-34.69619830831222,0.06933333333333333,852.8787255051545,0.3586666666666667,14.564666666666668,-39.86707503164262,-39.86707503164262
parcial 1R+BE+cierre,600,1,0.07,949.1561258635302,0.436,15.267666666666667,-32.55907118955288,0.08233333333333333,1117.477555739275,0.461,14.981666666666667,-6.9943479107997035,-32.55907118955288
parcial 1R+BE+cierre,600,2,0.06166666666666667,911.3605405304017,0.33266666666666667,12.579666666666666,-42.79943333395856,0.07,1036.686993329487,0.31833333333333336,12.388,-26.431910466935904,-42.79943333395856
parcial 1R+BE+cierre,600,3,0.06333333333333334,871.78633946336,0.304,11.665666666666667,-43.78686516732053,0.058666666666666666,965.3696817769445,0.255,10.989333333333333,-42.36497866908592,-43.78686516732053
parcial 0.5R+BE+2R,100,1,0.005666666666666667,0.0,0.0,571.009,-99.0,0.004666666666666667,0.0,0.0,301.2626666666667,-99.0,-99.0
parcial 0.5R+BE+2R,100,2,0.022,37.95580791326896,0.08833333333333333,430.9483333333333,-98.16497222590809,0.013666666666666667,6.547845292643365,0.021333333333333333,191.875,-98.91051278100053,-98.91051278100053
parcial 0.5R+BE+2R,100,3,0.027666666666666666,69.77396264856588,0.15633333333333332,364.517,-97.06958703338968,0.015666666666666666,6.211955968399605,0.018333333333333333,136.506,-98.90267935649507,-98.90267935649507
parcial 0.5R+BE+2R,150,1,0.07733333333333334,437.80235524573106,0.5356666666666666,306.48266666666666,-65.14328452766347,0.06966666666666667,200.992313357379,0.3496666666666667,205.82766666666666,-84.99753550276927,-84.99753550276927
parcial 0.5R+BE+2R,150,2,0.14066666666666666,459.8807742209118,0.5383333333333333,187.551,-34.310104426258405,0.08133333333333333,165.2489514914064,0.31766666666666665,113.54633333333334,-85.55975194536562,-85.55975194536562
parcial 0.5R+BE+2R,150,3,0.13633333333333333,385.4270270207003,0.492,150.06933333333333,-46.453448649511195,0.071,124.24290878389019,0.25533333333333336,77.91833333333334,-90.1787534763438,-90.1787534763438
parcial 0.5R+BE+2R,250,1,0.20966666666666667,690.652959005053,0.6243333333333333,114.13566666666667,45.80690373805945,0.18366666666666667,459.67216044643396,0.5353333333333333,87.20466666666667,-14.573546531338295,-14.573546531338295
parcial 0.5R+BE+2R,250,2,0.20633333333333334,579.8993893245693,0.5686666666666667,67.857,20.652573997302795,0.16466666666666666,327.6899712085006,0.43033333333333335,49.224,-45.04038474100024,-45.04038474100024
parcial 0.5R+BE+2R,250,3,0.19133333333333333,517.5871452846336,0.5303333333333333,56.126,0.031673797793231984,0.13366666666666666,242.34525360569043,0.35533333333333333,34.664,-66.60651776803938,-66.60651776803938
parcial 0.5R+BE+2R,400,1,0.23033333333333333,645.7031208864962,0.548,47.760333333333335,49.726952177522975,0.231,474.77924162185997,0.49166666666666664,38.32966666666667,10.674004814649663,10.674004814649663
parcial 0.5R+BE+2R,400,2,0.19366666666666665,587.7835633660089,0.49166666666666664,30.596666666666668,14.834083438550394,0.16766666666666666,378.42224817823876,0.4073333333333333,23.071666666666665,-35.55120305544864,-35.55120305544864
parcial 0.5R+BE+2R,400,3,0.19,552.7409147836928,0.464,25.07,6.020773808901637,0.144,320.0212145423019,0.3506666666666667,16.894,-52.91694510590853,-52.91694510590853
parcial 0.5R+BE+2R,600,1,0.17533333333333334,618.5070598105405,0.39466666666666667,27.048666666666666,9.444904486781425,0.18666666666666668,508.05422640418914,0.36866666666666664,22.747,-4.163211071218029,-4.163211071218029
parcial 0.5R+BE+2R,600,2,0.174,652.1076967147769,0.43766666666666665,16.599,14.466739228371182,0.15466666666666667,498.41671901144105,0.3963333333333333,12.963333333333333,-21.911547459563778,-21.911547459563778
parcial 0.5R+BE+2R,600,3,0.171,595.4973818924663,0.39166666666666666,14.235666666666667,2.830052303611737,0.145,399.7651554510241,0.324,10.134,-41.03405245960151,-41.03405245960151
