esc,modo,plan,Rusd,K,ev_3años,p_cobra,n_ret,vida_dias,ev_por_año_vida,p50,p90
cons,estrategia,growth,100,1,198.0,0.10433333333333333,0.14666666666666667,359.207,138.90597900374993,0.0,1350.0
cons,estrategia,growth,100,2,616.95,0.23433333333333334,0.44866666666666666,341.42066666666665,455.36610749983896,0.0,2700.0
cons,estrategia,growth,100,3,978.3,0.324,0.6926666666666667,357.82,688.9821698060478,0.0,4050.0
cons,estrategia,growth,150,1,414.0,0.13866666666666666,0.287,153.11866666666666,681.3538954536351,0.0,1350.0
cons,estrategia,growth,150,2,849.15,0.21633333333333332,0.535,138.963,1539.8760821225794,0.0,2700.0
cons,estrategia,growth,150,3,978.75,0.22833333333333333,0.598,133.03233333333333,1854.0229568250325,0.0,2700.0
cons,estrategia,growth,250,1,753.3,0.19233333333333333,0.462,71.80566666666667,2643.6855030011557,0.0,2700.0
cons,estrategia,growth,250,2,1071.9,0.22733333333333333,0.6083333333333333,77.88733333333333,3468.0709743133248,0.0,2700.0
cons,estrategia,growth,250,3,1146.6,0.22966666666666666,0.6413333333333333,79.212,3647.720042417815,0.0,2700.0
cons,estrategia,growth,400,1,846.9,0.21333333333333335,0.49266666666666664,44.306,4816.927729878572,0.0,1350.0
cons,estrategia,growth,400,2,1032.75,0.19633333333333333,0.5643333333333334,61.477666666666664,4233.293391095954,0.0,1350.0
cons,estrategia,growth,400,3,1069.65,0.18066666666666667,0.5653333333333334,61.782333333333334,4362.926834531986,0.0,1350.0
cons,estrategia,growth,600,1,752.4,0.177,0.43,37.045,5118.229180726144,0.0,1350.0
cons,estrategia,growth,600,2,855.0,0.15833333333333333,0.461,48.614,4432.056609207225,0.0,1350.0
cons,estrategia,growth,600,3,851.4,0.143,0.45066666666666666,50.706,4231.309904153354,0.0,1350.0
cons,estrategia,growth,900,1,719.1,0.138,0.3903333333333333,35.62266666666667,5087.019500692443,0.0,1350.0
cons,estrategia,growth,900,2,688.95,0.11666666666666667,0.365,40.959666666666664,4238.6917211240325,0.0,1350.0
cons,estrategia,growth,900,3,690.3,0.11,0.36033333333333334,40.654333333333334,4278.894418799144,0.0,1350.0
cons,sin ventaja,select_flex,75,1,245.08012060073895,0.41233333333333333,0.7613333333333333,420.83433333333335,146.75653933032925,0.0,795.8153096399141
cons,sin ventaja,select_flex,75,2,195.56244448019638,0.353,0.62,306.415,160.83330127118282,0.0,616.1536877712358
cons,sin ventaja,select_flex,75,3,228.3299565120438,0.37033333333333335,0.6893333333333334,275.50466666666665,208.84999785013335,0.0,749.8418366196549
cons,sin ventaja,select_flex,100,1,595.2794455412132,0.5996666666666667,1.654,240.38233333333332,624.0492726575264,264.8987894296261,1701.1179102702333
cons,sin ventaja,select_flex,100,2,431.74996133447235,0.518,1.2046666666666668,148.29,733.7041624943491,231.85484517571808,1309.3809044458599
cons,sin ventaja,select_flex,100,3,519.0425765808791,0.547,1.3746666666666667,138.06766666666667,947.3523559586594,245.67943928115932,1514.9037401920614
cons,sin ventaja,select_flex,150,1,588.8272406533349,0.569,1.1833333333333333,88.899,1669.135363104651,265.71176438581927,1690.8978723638763
cons,sin ventaja,select_flex,150,2,560.9293950475935,0.5586666666666666,1.2436666666666667,54.624,2587.7674200350316,266.6952869996363,1640.6720738508782
cons,sin ventaja,select_flex,150,3,592.4442110803386,0.5563333333333333,1.192,50.004333333333335,2985.6600666391314,274.81441193549085,1711.1278312520294
cons,sin ventaja,select_flex,250,1,755.4585480302644,0.604,1.465,31.124333333333333,6116.614677807074,354.47061139114254,2116.4551831648914
cons,sin ventaja,select_flex,250,2,569.9900755878814,0.49433333333333335,0.8816666666666667,21.47,6690.149000845186,0.0,1645.1140581592554
